"DeliveryID","OrderID","DeliveryPartner","DeliveryDateTime","DeliveryAmount","DeliveryStatus"
78,78,"Adams LLC","2024-11-06 20:42:00.0",30.46,"In Progress"
80,80,"Richardson-Reyes","2024-11-25 16:12:00.0",11.72,"In Progress"
82,82,"Burke LLC","2024-11-20 12:52:00.0",24.32,"Completed"
83,83,"Gallagher, Roberson and Bean","2024-11-16 22:41:00.0",31.61,"Cancelled"
84,84,"Newton-Brown","2024-11-18 20:59:00.0",8.34,"In Progress"
87,87,"Matthews-Gonzalez","2024-11-15 18:34:00.0",14.51,"In Progress"
91,91,"Cohen-Wagner","2024-11-26 20:10:00.0",23.51,"In Progress"
102,102,"Fischer and Sons","2024-11-17 11:57:00.0",27.79,"Completed"
107,107,"Bailey-Neal","2024-11-06 18:14:00.0",14.77,"Completed"
114,114,"Newton-Brown","2024-11-05 11:39:00.0",16.82,"In Progress"
118,118,"Rose, Pratt and Flores","2024-11-29 10:32:00.0",48.95,"In Progress"
119,119,"Buckley-Morris","2024-11-28 22:45:00.0",46.9,"In Progress"
122,122,"Carter, Evans and Walker","2024-11-07 16:44:00.0",44.33,"In Progress"
123,123,"Anderson Group","2024-11-30 14:35:00.0",14.8,"In Progress"
124,124,"Miller and Sons","2024-11-08 12:57:00.0",20.65,"Completed"
126,126,"Richardson-Reyes","2024-11-02 12:09:00.0",13.99,"Completed"
128,128,"Guzman, Smith and Murray","2024-11-16 00:55:00.0",39.53,"Cancelled"
130,130,"Maldonado, Freeman and Thompson","2024-11-28 20:28:00.0",17.65,"In Progress"
131,131,"Anderson Group","2024-11-13 22:21:00.0",47.9,"In Progress"
137,137,"Frank Inc","2024-11-02 12:16:00.0",10.7,"Cancelled"
140,140,"Waller-Davis","2024-11-19 23:15:00.0",29.72,"Cancelled"
141,141,"Fischer and Sons","2024-11-10 13:12:00.0",32.8,"Cancelled"
144,144,"Matthews-Gonzalez","2024-11-15 22:51:00.0",6.46,"In Progress"
148,148,"Rogers-Brown","2024-11-08 12:08:00.0",19.31,"Completed"
153,153,"Maldonado, Freeman and Thompson","2024-11-12 19:44:00.0",13.66,"Completed"
156,156,"Anderson, Carr and Mcneil","2024-11-25 13:17:00.0",8.43,"Cancelled"
162,162,"Cook PLC","2024-11-28 18:54:00.0",35.14,"In Progress"
167,167,"Miller and Sons","2024-11-04 19:36:00.0",22.93,"In Progress"
168,168,"Martinez Ltd","2024-11-11 16:43:00.0",44.87,"Cancelled"
172,172,"Rogers, Wright and Cooper","2024-11-02 22:32:00.0",42.18,"In Progress"
175,175,"Buckley-Morris","2024-11-14 12:10:00.0",7.55,"Cancelled"
181,181,"Cook Ltd","2024-11-21 19:52:00.0",33.77,"In Progress"
183,183,"Werner-Rodriguez","2024-11-21 21:45:00.0",42.73,"In Progress"
187,187,"Gray, Kerr and Massey","2024-11-21 22:45:00.0",8.01,"Cancelled"
190,190,"Turner-Hart","2024-11-06 19:32:00.0",37.85,"In Progress"
191,191,"Sellers Inc","2024-11-13 19:15:00.0",37.15,"Completed"
192,192,"Roberts, Durham and Ryan","2024-11-06 22:40:00.0",20.81,"In Progress"
196,196,"Miller and Sons","2024-12-01 00:37:00.0",46.87,"Completed"
197,197,"Gonzales-Brown","2024-11-17 23:13:00.0",49.58,"Cancelled"
201,201,"Gay, Cunningham and Rodriguez","2024-11-15 21:47:00.0",18.33,"Cancelled"
202,202,"Phillips-Boyer","2024-11-08 13:33:00.0",5.93,"Cancelled"
203,203,"Walker PLC","2024-11-20 20:04:00.0",34.94,"In Progress"
205,205,"Turner-Hart","2024-11-03 16:42:00.0",39.72,"Completed"
209,209,"Molina-Bailey","2024-11-27 22:45:00.0",25.8,"Cancelled"
211,211,"Riggs PLC","2024-11-03 23:30:00.0",6.77,"Completed"
213,213,"Marsh-Williams","2024-11-02 19:43:00.0",26.02,"In Progress"
214,214,"Anderson Group","2024-11-08 00:20:00.0",12.31,"Completed"
216,216,"Webster, Martinez and Marshall","2024-11-18 18:46:00.0",19.31,"Completed"
217,217,"Hawkins-Garza","2024-11-29 12:19:00.0",37.03,"Completed"
222,222,"Mills Inc","2024-11-03 00:43:00.0",10.43,"In Progress"
223,223,"Evans and Sons","2024-11-09 11:35:00.0",22.39,"Cancelled"
224,224,"Gay, Cunningham and Rodriguez","2024-11-08 22:47:00.0",38.58,"Cancelled"
226,226,"Freeman, Walton and Jones","2024-11-25 23:18:00.0",38.6,"Cancelled"
233,233,"Rogers-Brown","2024-11-10 15:39:00.0",10.91,"Cancelled"
237,237,"Taylor-Smith","2024-11-08 21:20:00.0",32.93,"Cancelled"
243,243,"Hill, Hull and Bailey","2024-11-14 20:17:00.0",44.16,"Completed"
244,244,"Duran, Fuller and Reyes","2024-11-12 14:45:00.0",14.49,"Cancelled"
247,247,"Smith PLC","2024-11-13 00:19:00.0",43.62,"Cancelled"
255,255,"Walker PLC","2024-11-25 16:29:00.0",21.1,"In Progress"
259,259,"Ray-Bradley","2024-11-09 23:39:00.0",34.74,"Cancelled"
266,266,"Hatfield and Sons","2024-11-13 23:04:00.0",26.7,"Completed"
267,267,"Carter, Evans and Walker","2024-11-11 22:28:00.0",28.19,"In Progress"
271,271,"Ray-Bradley","2024-11-06 21:41:00.0",16.8,"Cancelled"
272,272,"Rogers-Brown","2024-11-01 16:25:00.0",47.8,"In Progress"
273,273,"Thompson, Henry and Hernandez","2024-11-02 20:41:00.0",27.9,"Completed"
274,274,"Cook PLC","2024-11-30 01:02:00.0",43.93,"Completed"
278,278,"Burke LLC","2024-11-27 20:58:00.0",28.83,"Completed"
281,281,"Lawson, Tran and King","2024-11-12 20:57:00.0",17.99,"Cancelled"
283,283,"Duran, Fuller and Reyes","2024-11-13 11:55:00.0",43.87,"In Progress"
293,293,"Cook Ltd","2024-11-27 16:01:00.0",21.43,"Completed"
294,294,"Lawson, Tran and King","2024-11-01 13:57:00.0",33.98,"Cancelled"
299,299,"Rowland-Williams","2024-11-28 22:09:00.0",6.03,"Cancelled"
307,307,"Ruiz-Hughes","2024-11-07 17:24:00.0",41.6,"In Progress"
308,308,"Adams, Guerra and Fields","2024-11-05 19:30:00.0",21.46,"Completed"
313,313,"Freeman, Walton and Jones","2024-11-14 23:35:00.0",5.11,"Cancelled"
315,315,"Martinez Ltd","2024-11-30 11:19:00.0",40.86,"Cancelled"
318,318,"Martinez Ltd","2024-11-26 16:09:00.0",42.7,"Completed"
324,324,"Ruiz-Hughes","2024-11-24 14:16:00.0",6.57,"Cancelled"
326,326,"Smith PLC","2024-11-15 21:03:00.0",12.6,"Cancelled"
327,327,"Anderson, Carr and Mcneil","2024-11-15 20:49:00.0",48.86,"Cancelled"
330,330,"Fernandez","2024-11-02 12:26:00.0",44.43,"In Progress"
333,333,"Hill, Vincent and Alvarez","2024-11-27 13:02:00.0",15.92,"Completed"
336,336,"Taylor-Smith","2024-11-27 18:13:00.0",29.22,"In Progress"
337,337,"Anderson Group","2024-11-29 22:41:00.0",41.82,"Cancelled"
341,341,"Clark-Thompson","2024-11-08 12:34:00.0",37.88,"Cancelled"
342,342,"Brown, Blankenship and Hayes","2024-11-02 22:17:00.0",17.74,"Completed"
344,344,"Graham-Campbell","2024-11-21 22:17:00.0",5.1,"Completed"
348,348,"Sellers Inc","2024-11-04 21:19:00.0",9.81,"Cancelled"
349,349,"Freeman, Walton and Jones","2024-11-27 19:31:00.0",35.88,"Completed"
353,353,"Bailey-Neal","2024-11-16 23:36:00.0",5.73,"In Progress"
354,354,"Williams, Anderson and Rodriguez","2024-11-21 14:40:00.0",11.99,"In Progress"
369,369,"Brown, King and Stout","2024-11-13 21:39:00.0",26.89,"Completed"
370,370,"Waller-Davis","2024-11-16 18:52:00.0",8.24,"In Progress"
371,371,"Ruiz-Hughes","2024-11-04 17:31:00.0",37.08,"Cancelled"
377,377,"Rogers, Wright and Cooper","2024-11-21 15:01:00.0",44.67,"Cancelled"
379,379,"Turner-Hart","2024-11-28 22:32:00.0",10.81,"In Progress"
383,383,"Price, Neal and Gonzalez","2024-11-23 17:44:00.0",14.5,"Completed"
386,386,"Keller-Gross","2024-11-16 19:34:00.0",21.83,"In Progress"
387,387,"Sellers Inc","2024-11-04 22:03:00.0",43.89,"Completed"
389,389,"Molina-Bailey","2024-11-26 23:01:00.0",17.57,"In Progress"
391,391,"Phillips-Boyer","2024-11-05 11:25:00.0",46.44,"Completed"
394,394,"Walker-Davis","2024-11-08 23:58:00.0",16.44,"Cancelled"
395,395,"Rogers-Brown","2024-11-08 15:48:00.0",44.44,"Completed"
400,400,"Cohen-Wagner","2024-11-18 15:39:00.0",42.66,"In Progress"
403,403,"Kelly LLC","2024-11-18 20:04:00.0",29.03,"In Progress"
415,415,"Brown, Blankenship and Hayes","2024-11-14 12:34:00.0",13.88,"Cancelled"
418,418,"Taylor-Smith","2024-11-28 23:49:00.0",19.04,"Cancelled"
420,420,"Smith, Wise and Drake","2024-11-14 21:04:00.0",34.4,"Completed"
421,421,"Marsh-Williams","2024-11-08 18:53:00.0",40.61,"In Progress"
426,426,"Duran, Fuller and Reyes","2024-11-03 12:28:00.0",6.86,"Cancelled"
427,427,"Moore-Griffin","2024-11-04 22:19:00.0",25.62,"Cancelled"
437,437,"Stephens PLC","2024-11-29 21:35:00.0",41.33,"Cancelled"
439,439,"Jones, Garrett and Pierce","2024-11-09 15:26:00.0",28.43,"Completed"
440,440,"Marquez PLC","2024-11-05 22:09:00.0",39.98,"Completed"
441,441,"Rose, Pratt and Flores","2024-11-30 12:46:00.0",21.93,"Cancelled"
443,443,"Brown, Blankenship and Hayes","2024-11-23 19:53:00.0",35.82,"In Progress"
449,449,"Kelly LLC","2024-11-21 12:26:00.0",40.41,"Completed"
451,451,"Williams, Anderson and Rodriguez","2024-11-16 15:27:00.0",27.66,"Completed"
459,459,"Lopez, Hughes and Harmon","2024-11-17 15:59:00.0",16.63,"In Progress"
461,461,"Hawkins-Garza","2024-11-09 21:29:00.0",16.11,"Cancelled"
463,463,"Riggs PLC","2024-11-19 17:26:00.0",12.1,"In Progress"
465,465,"Ray-Bradley","2024-11-18 13:43:00.0",28.59,"Cancelled"
466,466,"Arias LLC","2024-11-02 19:04:00.0",21.69,"Cancelled"
470,470,"Mills Inc","2024-11-14 12:52:00.0",25.9,"Cancelled"
473,473,"Thomas PLC","2024-11-12 20:34:00.0",20.51,"Completed"
481,481,"Anderson Group","2024-11-11 21:37:00.0",17.19,"In Progress"
484,484,"Adams, Guerra and Fields","2024-11-25 21:00:00.0",43.36,"In Progress"
492,492,"Mills Inc","2024-11-30 23:58:00.0",23.31,"In Progress"
495,495,"Lopez, Hughes and Harmon","2024-11-21 12:00:00.0",27.83,"In Progress"
496,496,"Marsh-Williams","2024-11-21 00:06:00.0",17.9,"Completed"
498,498,"Marsh-Williams","2024-11-06 13:56:00.0",23.29,"Completed"
499,499,"Williams-Benson","2024-11-06 15:22:00.0",19.98,"Cancelled"
500,500,"Anderson, Carr and Mcneil","2024-11-08 22:37:00.0",18,"Completed"
502,502,"Jackson-Rojas","2024-11-13 20:28:00.0",31.36,"In Progress"
503,503,"Gay, Cunningham and Rodriguez","2024-11-11 18:53:00.0",39.57,"Cancelled"
504,504,"Burton Inc","2024-11-02 15:02:00.0",20.65,"Cancelled"
505,505,"Anderson, Carr and Mcneil","2024-11-15 15:11:00.0",16.46,"In Progress"
514,514,"Phillips-Boyer","2024-11-30 14:13:00.0",47.34,"In Progress"
516,516,"Walker PLC","2024-11-09 16:28:00.0",18.98,"Cancelled"
517,517,"Rogers-Brown","2024-11-10 15:30:00.0",19.83,"Cancelled"
519,519,"Reed and Allison","2024-11-20 19:46:00.0",45.82,"Completed"
521,521,"Anderson, Carr and Mcneil","2024-11-10 21:17:00.0",29.19,"Completed"
522,522,"Jackson-Rojas","2024-11-07 18:25:00.0",19.55,"Cancelled"
523,523,"Cook Ltd","2024-11-14 19:07:00.0",20.28,"Completed"
527,527,"Anderson, Carr and Mcneil","2024-11-02 12:01:00.0",15.11,"Cancelled"
528,528,"Adams, Guerra and Fields","2024-11-08 22:10:00.0",16.92,"Completed"
531,531,"Walker-Davis","2024-11-17 12:27:00.0",48.64,"In Progress"
532,532,"Cohen-Wagner","2024-11-30 19:21:00.0",45.38,"Cancelled"
537,537,"Gallagher, Roberson and Bean","2024-11-14 22:47:00.0",38.16,"In Progress"
539,539,"Bailey-Neal","2024-11-20 19:40:00.0",28.84,"In Progress"
540,540,"Cook Ltd","2024-11-16 20:12:00.0",24.65,"Cancelled"
543,543,"Webster, Martinez and Marshall","2024-11-07 13:55:00.0",34.88,"In Progress"
544,544,"Sanchez Inc","2024-11-16 11:00:00.0",13.45,"In Progress"
546,546,"Anderson, Carr and Mcneil","2024-11-06 19:09:00.0",48.91,"In Progress"
547,547,"Gonzales-Brown","2024-11-07 18:36:00.0",6.23,"Cancelled"
551,551,"Lawson, Tran and King","2024-11-21 00:50:00.0",20.38,"Completed"
554,554,"Adams, Guerra and Fields","2024-11-21 16:59:00.0",8.16,"In Progress"
556,556,"Fischer and Sons","2024-11-28 21:41:00.0",47.89,"In Progress"
557,557,"Anderson Group","2024-11-24 17:56:00.0",13.36,"Completed"
560,560,"Turner-Hart","2024-11-26 00:38:00.0",13.89,"Completed"
563,563,"Frazier, Anderson and Rodriguez","2024-11-10 20:23:00.0",24.76,"Completed"
566,566,"Jones, Garrett and Pierce","2024-11-25 20:16:00.0",23.14,"In Progress"
567,567,"Williams, Anderson and Rodriguez","2024-11-19 20:12:00.0",36.65,"In Progress"
569,569,"Clark-Thompson","2024-11-03 22:00:00.0",39.98,"Completed"
571,571,"Gonzales-Brown","2024-11-17 15:23:00.0",33.11,"Completed"
577,577,"Moore-Griffin","2024-11-14 16:28:00.0",20.5,"In Progress"
579,579,"Walker PLC","2024-11-07 13:01:00.0",5.7,"Cancelled"
582,582,"Hill, Hull and Bailey","2024-11-28 11:10:00.0",47.22,"Completed"
585,585,"Bailey-Neal","2024-11-26 10:59:00.0",47.48,"Completed"
586,586,"Roberts, Durham and Ryan","2024-11-05 16:30:00.0",42.64,"Completed"
587,587,"Frank Inc","2024-11-12 22:14:00.0",43.47,"In Progress"
588,588,"Gallagher, Roberson and Bean","2024-11-24 00:44:00.0",42.59,"Cancelled"
596,596,"Phillips-Boyer","2024-11-11 23:26:00.0",19.64,"In Progress"
607,607,"Brown, King and Stout","2024-11-05 12:39:00.0",24.27,"In Progress"
608,608,"Ruiz-Hughes","2024-11-28 19:27:00.0",34.61,"Completed"
609,609,"Moore-Griffin","2024-11-30 22:58:00.0",31.15,"Cancelled"
610,610,"Hill, Hull and Bailey","2024-11-30 15:01:00.0",31.13,"Completed"
611,611,"Smith PLC","2024-11-01 19:59:00.0",34.27,"In Progress"
612,612,"Walker-Davis","2024-11-23 22:30:00.0",18.14,"In Progress"
613,613,"Thompson, Henry and Hernandez","2024-11-07 21:46:00.0",21.83,"In Progress"
614,614,"Frank Inc","2024-11-18 13:45:00.0",9.36,"Cancelled"
620,620,"Gallagher, Roberson and Bean","2024-11-04 15:40:00.0",18.48,"Cancelled"
624,624,"Duran, Fuller and Reyes","2024-11-18 12:09:00.0",39.03,"Completed"
627,627,"Khan, Hernandez and Baldwin","2024-11-06 12:49:00.0",10.46,"Cancelled"
631,631,"Thomas PLC","2024-11-01 12:36:00.0",18.84,"Cancelled"
633,633,"Newton-Brown","2024-11-15 15:01:00.0",30.48,"Completed"
634,634,"Hill, Vincent and Alvarez","2024-11-16 17:05:00.0",24.48,"Cancelled"
635,635,"Hawkins-Garza","2024-11-15 00:16:00.0",16.65,"In Progress"
636,636,"Williams, Anderson and Rodriguez","2024-11-11 17:57:00.0",5.79,"Cancelled"
637,637,"Ruiz-Hughes","2024-11-09 12:46:00.0",26.42,"In Progress"
638,638,"Taylor-Smith","2024-11-23 16:58:00.0",27.84,"Completed"
645,645,"Martinez Ltd","2024-11-11 15:39:00.0",15.38,"Cancelled"
647,647,"Hill, Hull and Bailey","2024-11-30 17:26:00.0",23.35,"In Progress"
649,649,"Gray, Kerr and Massey","2024-11-19 17:21:00.0",35.04,"In Progress"
653,653,"Gay, Cunningham and Rodriguez","2024-11-19 20:00:00.0",36.21,"In Progress"
655,655,"Reed and Allison","2024-11-02 13:45:00.0",30.17,"In Progress"
659,659,"Watson-Thomas","2024-11-04 11:42:00.0",26.8,"In Progress"
664,664,"Frank Inc","2024-11-05 01:28:00.0",19.78,"Completed"
666,666,"Christensen and Sons","2024-11-02 15:19:00.0",15.67,"Cancelled"
671,671,"Duran, Fuller and Reyes","2024-11-21 23:10:00.0",28.92,"Completed"
675,675,"Rogers, Wright and Cooper","2024-11-21 20:35:00.0",43.88,"Cancelled"
677,677,"Miller and Sons","2024-11-03 19:44:00.0",12.62,"Cancelled"
681,681,"Henderson Inc","2024-11-15 13:08:00.0",23.14,"In Progress"
689,689,"Riggs PLC","2024-11-11 11:15:00.0",25.69,"Completed"
695,695,"Lawson, Tran and King","2024-11-06 14:28:00.0",29.07,"In Progress"
699,699,"Burke LLC","2024-11-22 23:28:00.0",47.22,"Completed"
700,700,"Hill, Vincent and Alvarez","2024-11-22 23:28:00.0",29.09,"In Progress"
703,703,"Durham Inc","2024-11-22 20:07:00.0",36.99,"In Progress"
705,705,"Jones, Garrett and Pierce","2024-11-24 00:25:00.0",10.3,"Completed"
706,706,"Walker-Davis","2024-11-03 14:29:00.0",15.94,"In Progress"
708,708,"Duran, Fuller and Reyes","2024-11-23 18:37:00.0",37.46,"Cancelled"
712,712,"Webster, Martinez and Marshall","2024-11-28 12:27:00.0",32.68,"In Progress"
713,713,"Miller and Sons","2024-11-06 18:13:00.0",17.52,"Cancelled"
719,719,"Anderson, Carr and Mcneil","2024-11-09 18:20:00.0",10.2,"In Progress"
728,728,"Freeman, Walton and Jones","2024-11-27 20:22:00.0",46.53,"Cancelled"
729,729,"Norton, Chang and Clements","2024-11-10 22:28:00.0",35.61,"Completed"
730,730,"Wright Ltd","2024-11-03 14:38:00.0",21.68,"Completed"
734,734,"Hill, Hull and Bailey","2024-11-09 17:52:00.0",16.35,"In Progress"
736,736,"Thompson, Morrow and Collins","2024-11-04 11:24:00.0",20.83,"Completed"
741,741,"Burke LLC","2024-11-30 18:20:00.0",49.96,"Cancelled"
749,749,"Hill, Hull and Bailey","2024-11-30 15:34:00.0",7.32,"Cancelled"
750,750,"Rose, Pratt and Flores","2024-11-13 20:38:00.0",6.11,"In Progress"
758,758,"Evans and Sons","2024-11-26 23:47:00.0",31.38,"Completed"
763,763,"Dodson, Fleming and Butler","2024-11-20 12:22:00.0",17.46,"In Progress"
766,766,"Walker-Davis","2024-11-25 20:08:00.0",5.69,"Cancelled"
768,768,"Frank Inc","2024-11-20 18:08:00.0",34.13,"Completed"
769,769,"Werner-Rodriguez","2024-11-14 16:38:00.0",22.57,"Cancelled"
770,770,"Powell, Morse and Quinn","2024-11-03 12:24:00.0",25.32,"In Progress"
775,775,"Anderson, Carr and Mcneil","2024-11-16 17:11:00.0",30.47,"Cancelled"
781,781,"Christensen and Sons","2024-11-19 00:08:00.0",6.6,"In Progress"
782,782,"Evans and Sons","2024-11-17 21:31:00.0",27.03,"Completed"
785,785,"Cooper, Myers and Rodriguez","2024-11-05 12:45:00.0",10.24,"Completed"
789,789,"Graham-Campbell","2024-11-18 21:28:00.0",7.29,"Cancelled"
795,795,"Molina-Bailey","2024-11-29 21:13:00.0",10.22,"Cancelled"
796,796,"Fischer and Sons","2024-11-06 17:06:00.0",16.82,"In Progress"
797,797,"Anderson, Carr and Mcneil","2024-11-12 21:04:00.0",8.77,"Completed"
802,802,"Werner-Rodriguez","2024-11-26 21:33:00.0",30.7,"Cancelled"
804,804,"Sellers Inc","2024-11-03 12:06:00.0",14.8,"In Progress"
806,806,"White, Peck and Ayala","2024-11-22 22:33:00.0",46.77,"Cancelled"
807,807,"Taylor-Smith","2024-11-30 19:48:00.0",37.91,"Cancelled"
808,808,"Williams-Benson","2024-11-24 19:59:00.0",44.65,"Completed"
811,811,"Williams-Benson","2024-11-18 19:02:00.0",42.8,"Completed"
814,814,"Gay, Cunningham and Rodriguez","2024-11-22 00:27:00.0",38.61,"In Progress"
816,816,"Waller-Davis","2024-11-17 23:05:00.0",35.06,"Cancelled"
817,817,"Hawkins Ltd","2024-11-04 17:34:00.0",46.77,"Completed"
818,818,"Hawkins-Garza","2024-11-02 20:06:00.0",45.44,"Completed"
824,824,"Webster, Martinez and Marshall","2024-11-04 20:37:00.0",39.68,"In Progress"
828,828,"Cooper, Myers and Rodriguez","2024-11-19 12:12:00.0",16.38,"Cancelled"
829,829,"Henderson Inc","2024-11-17 13:30:00.0",22.48,"In Progress"
830,830,"Williams-Benson","2024-11-19 12:35:00.0",18.94,"Completed"
833,833,"Miller and Sons","2024-11-09 11:37:00.0",10.74,"In Progress"
836,836,"Frazier, Anderson and Rodriguez","2024-11-18 22:14:00.0",18.8,"In Progress"
839,839,"Keller-Gross","2024-11-08 23:47:00.0",23.67,"Cancelled"
842,842,"Marsh-Williams","2024-11-14 20:49:00.0",30.37,"Cancelled"
843,843,"Hill, Vincent and Alvarez","2024-11-18 14:43:00.0",35.35,"Completed"
844,844,"Bailey-Neal","2024-11-07 22:54:00.0",28.22,"In Progress"
849,849,"White, Peck and Ayala","2024-11-16 20:51:00.0",40.22,"Completed"
851,851,"Lawson, Tran and King","2024-11-23 18:42:00.0",12.61,"Completed"
858,858,"Phillips and Sons","2024-11-20 19:35:00.0",6.35,"Cancelled"
865,865,"Taylor-Smith","2024-11-19 12:43:00.0",16.26,"Completed"
866,866,"Price, Neal and Gonzalez","2024-11-16 19:08:00.0",8.26,"Completed"
872,872,"Marquez PLC","2024-11-15 22:30:00.0",21.25,"Cancelled"
873,873,"Bailey-Neal","2024-11-16 15:32:00.0",25.2,"In Progress"
874,874,"Hawkins-Garza","2024-11-12 21:11:00.0",28.31,"In Progress"
878,878,"Thompson, Henry and Hernandez","2024-11-03 17:52:00.0",42.33,"Cancelled"
880,880,"Rogers, Wright and Cooper","2024-11-17 22:47:00.0",40.54,"In Progress"
884,884,"Adams LLC","2024-11-22 23:05:00.0",42.61,"Cancelled"
885,885,"Roberts, Durham and Ryan","2024-11-02 19:43:00.0",38.77,"Cancelled"
887,887,"Frazier, Anderson and Rodriguez","2024-11-27 20:21:00.0",29.94,"In Progress"
893,893,"Burke LLC","2024-11-12 23:18:00.0",39.77,"Completed"
895,895,"Evans and Sons","2024-11-24 20:59:00.0",29.99,"Completed"
896,896,"Campbell, Burns and Espinoza","2024-11-10 22:25:00.0",27.46,"Completed"
899,899,"Wright Ltd","2024-11-20 13:10:00.0",21.61,"In Progress"
901,901,"Kelly LLC","2024-11-16 15:46:00.0",10.33,"Cancelled"
904,904,"Maldonado, Freeman and Thompson","2024-11-25 21:42:00.0",16.6,"Completed"
910,910,"Hancock-Benson","2024-11-14 18:34:00.0",32.98,"In Progress"
911,911,"Freeman, Walton and Jones","2024-11-14 15:41:00.0",6.09,"In Progress"
912,912,"Frazier, Anderson and Rodriguez","2024-11-06 19:20:00.0",10.57,"Cancelled"
919,919,"Patterson, Rodriguez and Vasquez","2024-11-14 16:26:00.0",18.05,"In Progress"
923,923,"Lee-Taylor","2024-11-16 12:14:00.0",16.63,"In Progress"
925,925,"Norris-Hawkins","2024-11-01 16:29:00.0",16.17,"In Progress"
926,926,"Frazier, Anderson and Rodriguez","2024-11-27 13:58:00.0",34.44,"In Progress"
927,927,"Walker PLC","2024-11-06 00:11:00.0",10.44,"Completed"
929,929,"Williams, Anderson and Rodriguez","2024-11-02 19:15:00.0",20.48,"In Progress"
936,936,"Roberts, Durham and Ryan","2024-11-20 20:01:00.0",18.76,"Completed"
937,937,"Gonzales-Brown","2024-11-01 21:21:00.0",39.36,"Cancelled"
939,939,"Henderson Inc","2024-11-05 23:07:00.0",47.16,"In Progress"
940,940,"Norton, Chang and Clements","2024-11-14 18:20:00.0",9.02,"In Progress"
941,941,"Cook Ltd","2024-11-04 16:08:00.0",33.31,"In Progress"
946,946,"Hill, Vincent and Alvarez","2024-11-05 20:05:00.0",27.43,"In Progress"
947,947,"Molina-Bailey","2024-11-26 21:35:00.0",28.56,"Completed"
948,948,"Williams-Benson","2024-11-20 16:50:00.0",18.66,"Cancelled"
949,949,"Guzman, Smith and Murray","2024-11-11 18:12:00.0",25.65,"In Progress"
951,951,"Duran, Fuller and Reyes","2024-11-24 11:40:00.0",26.18,"Completed"
952,952,"Rose, Pratt and Flores","2024-11-28 20:32:00.0",10.41,"Completed"
955,955,"Hill, Hull and Bailey","2024-11-21 15:36:00.0",47.12,"Cancelled"
958,958,"Evans and Sons","2024-11-17 14:01:00.0",14.36,"Cancelled"
962,962,"Norton, Chang and Clements","2024-11-13 13:07:00.0",46.73,"Cancelled"
964,964,"Matthews-Gonzalez","2024-11-22 23:58:00.0",36.44,"Completed"
965,965,"Phillips-Boyer","2024-11-11 00:44:00.0",26.06,"In Progress"
966,966,"White, Peck and Ayala","2024-11-28 14:18:00.0",44.61,"Cancelled"
980,980,"Rose, Pratt and Flores","2024-11-25 15:39:00.0",47.33,"Cancelled"
